,0
0,5071.829475316259
1,10138.458697186026
2,15239.887015957192
3,20252.167388829796
4,24065.190879904272
5,27228.367847648748
6,30655.167628333
7,34181.7461178487
8,37125.36434635607
9,39414.44102903515
10,40291.63542406784
11,40833.16893566068
12,41027.2428204236
13,41027.2428204236
14,41027.2428204236
15,41027.2428204236
16,41027.2428204236
17,41027.2428204236
18,41027.2428204236
19,41027.2428204236
20,41027.2428204236
21,41027.2428204236
22,41027.2428204236
23,41027.2428204236
